
2025/04/21 (22:00:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (23:39:25) | ===> btop++ v.1.4.0
2025/04/25 (23:39:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (23:53:48) | ===> btop++ v.1.4.0
2025/04/25 (23:53:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (23:25:32) | ===> btop++ v.1.4.0
2025/04/27 (23:25:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (23:44:29) | ===> btop++ v.1.4.0
2025/04/27 (23:44:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (15:46:49) | ===> btop++ v.1.4.0
2025/05/03 (15:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (16:19:19) | ===> btop++ v.1.4.0
2025/05/03 (16:19:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (16:19:55) | ===> btop++ v.1.4.0
2025/05/03 (16:19:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (16:34:28) | ===> btop++ v.1.4.0
2025/05/03 (16:34:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (16:49:05) | ===> btop++ v.1.4.0
2025/05/03 (16:49:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (20:38:39) | ===> btop++ v.1.4.0
2025/05/05 (20:38:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/10 (20:01:48) | ===> btop++ v.1.4.0
2025/05/10 (20:01:48) | WARNING: Intel GPU: Failed to initialize PMU
